date,NULL,WIRELESS,FTTB,HFC,FTTN,SATELLITE,FTTP,FTTC
2023-05-23,0,0,0,0,1456,0,2,428
2023-05-30,0,0,0,0,1456,0,2,428
2023-06-06,812,0,3019,0,34082,8,10617,2603
2023-06-13,812,0,3019,0,34082,8,10617,2603
2023-06-20,812,0,3019,0,34082,8,10617,2603
2023-06-27,812,0,3019,0,34082,8,10617,2603
2023-07-04,857,0,3019,0,36559,8,10666,2878
2023-07-11,5491,1,10634,6,133771,610,70666,10907
2023-07-18,5491,1,10634,6,133771,610,70666,10907
2023-07-25,5491,1,10634,6,133771,610,70666,10907
2023-08-01,5491,1,10634,6,133771,610,70666,10907
2023-08-08,5479,1,10634,6,133621,610,70832,10897
2023-08-15,5732,1,10639,6,133467,779,71275,10662
2023-08-22,5709,1,10639,6,133436,779,71337,10659
2023-08-29,5727,1,10639,6,133324,779,71439,10651
2023-09-05,5871,1,10639,6,133310,780,71504,10646
2023-09-12,5879,1,10640,6,133225,780,71613,10625
2023-09-19,5861,1,10641,6,133652,782,71889,10809
2023-09-26,5742,1,10642,6,133642,783,72034,10807
2023-10-03,5742,1,10642,6,133181,783,72507,10791
2023-10-10,5738,1,10642,6,133164,783,72547,10779
2023-10-17,5761,1,10642,6,132988,741,72747,10764
2023-10-24,5761,1,10642,6,132988,741,72747,10764
2023-10-31,5700,1,10642,6,132902,742,72916,10751
2023-11-07,5679,1,10642,6,132664,742,73202,10734
2023-11-14,5680,1,10642,6,132632,742,73250,10720
2023-11-21,5725,1,10642,6,132582,665,73286,10719
2023-11-28,5726,1,10642,6,132527,665,73351,10706
2023-12-05,5725,1,10642,6,132398,665,73488,10694
2023-12-12,5722,1,10641,6,132203,665,73742,10688
2023-12-19,5722,1,10641,6,132203,665,73742,10688
2023-12-26,5710,1,10641,6,132165,665,73805,10672
2024-01-02,5731,1,10640,6,132164,575,73868,10671
2024-01-09,5736,1,10640,6,131815,575,74219,10663
2024-01-16,5736,1,10640,6,131815,575,74219,10663
2024-01-23,5736,1,10640,6,131815,575,74219,10663
2024-01-30,5730,1,10660,6,131779,575,74295,10625
2024-02-06,5730,1,10662,6,131779,575,74295,10623
2024-02-13,5703,1,10662,6,131462,575,74665,10598
2024-02-20,5703,1,10662,6,131462,575,74665,10598
2024-02-27,5703,1,10662,6,131462,575,74665,10598
2024-03-05,4159,1,10625,6,129760,562,74641,10284
2024-03-12,1573,0,10456,6,128833,292,72421,10324
2024-03-19,1558,0,10163,6,126923,289,72238,10235
2024-03-26,1557,0,10165,6,126902,289,72324,10214
2024-04-02,2803,0,10165,6,126913,284,71843,9940
2024-04-16,2806,0,10165,6,125599,284,73111,9921
2024-04-30,2790,0,10157,6,125229,284,73727,9883
2024-05-07,2790,0,10157,6,125125,284,73860,9864
2024-05-14,2784,0,10157,6,125125,284,73879,9861
2024-05-20,2784,0,10171,6,126724,284,72238,9888
2024-05-21,2784,0,10171,6,126724,284,72238,9888
2024-05-28,2784,0,10171,6,126724,284,72238,9888
2024-06-04,2777,0,10141,6,126680,284,72684,9699
2024-06-11,2776,0,10140,6,126533,284,72946,9645
2024-06-18,2776,0,10140,6,126533,284,72946,9645
2024-07-02,2760,0,10140,6,126212,284,73439,9603
2024-07-09,2760,0,10140,6,126117,284,73551,9586
2024-07-16,2761,0,10140,6,126089,284,73946,9228
2024-07-23,2761,0,10140,6,125972,284,74075,9215
2024-07-30,2761,0,10140,6,125935,284,74129,9204
2024-08-06,2766,0,10140,6,125559,285,74709,9190
2024-08-13,2766,0,10140,6,125559,285,74709,9190
2024-08-20,2766,0,10140,6,125502,285,74762,9180
2024-08-27,2763,0,10127,6,125496,285,74935,9190
2024-09-03,2763,0,10127,6,125269,285,75182,9170
2024-09-10,2773,0,10127,6,125231,276,75247,9150
2025-05-13,5442,0,10107,6,122674,80,78755,8615
2025-05-20,5442,0,10107,6,122674,80,78755,8615
2025-05-27,5349,0,10200,6,122577,80,78878,8599
2025-06-03,5359,0,10200,6,122516,80,79092,8594
2025-06-10,5339,0,9808,6,120462,80,77869,8570
2025-06-17,5339,0,9808,6,120462,80,77869,8570
2025-06-24,5337,0,9809,6,120424,84,77982,8522
2025-07-01,5542,0,11394,6,120575,87,78964,8516
2025-07-08,5546,0,11788,6,122146,88,80054,8481
2025-07-15,5225,0,11791,6,122108,88,80318,8297
2025-07-22,5194,0,11795,6,122117,91,80809,8153
2025-07-29,5194,0,11795,6,122117,91,80809,8153
2025-08-05,5195,0,11795,6,121956,91,81415,7720
2025-08-12,5195,0,11795,6,121956,91,81415,7720
2025-08-19,5195,0,11795,6,121956,91,81415,7720
2025-08-26,5195,0,11796,6,121857,91,82187,7048
2025-09-02,5075,0,11796,6,121820,91,82412,7008
2025-09-09,5116,0,11796,6,121662,91,82571,6975
2025-09-16,5116,0,11796,6,121662,91,82571,6975
2025-09-23,5116,0,11796,6,121662,91,82571,6975
2025-09-30,5116,0,11796,6,121662,91,82571,6975
2025-10-07,5116,0,11796,6,121662,91,82571,6975
2025-10-14,5116,0,11796,6,121662,91,82571,6975
2025-10-21,5116,0,11796,6,121662,91,82571,6975
2025-10-28,5116,0,11796,6,121662,91,82571,6975
2025-11-04,5116,0,11796,6,121662,91,82571,6975
2025-11-07,5116,0,11796,6,121662,91,82571,6975
2025-11-11,5312,0,11553,6,121130,89,82664,6478
2025-11-18,5582,0,11413,6,120713,89,83623,6424
2025-11-25,5582,0,11413,6,120713,89,83623,6424
2025-12-02,5625,0,11413,6,120444,90,83834,6340
2025-12-09,5625,0,11413,6,120444,90,83834,6340
2025-12-16,5570,0,11413,6,120360,90,83974,6308
2025-12-23,5583,0,11414,6,120382,92,84139,6277
2025-12-30,5585,0,11414,6,120343,92,84187,6272
2026-01-06,5591,0,11415,6,120298,92,84238,6269
2026-01-13,5597,0,11415,6,120283,92,84270,6259
2026-01-20,5581,0,11416,6,120218,92,84372,6253
2026-01-27,5581,0,11416,6,120218,92,84372,6253
2026-02-03,5665,0,11416,6,120153,93,84532,6239
2026-02-10,5665,0,11416,6,120132,93,84554,6238
2026-02-17,5665,0,11416,6,120075,93,84619,6231
2026-02-24,5708,0,11417,6,119986,93,84824,6086
2026-03-03,5706,0,11417,6,118019,94,84930,6066
2026-03-10,5417,0,10788,6,103658,93,84945,5596
2026-03-17,5417,0,10788,6,103658,93,84945,5596
2026-03-24,5417,0,10788,6,103658,93,84945,5596
2026-03-31,5417,0,10788,6,103658,93,84945,5596
2026-04-07,5417,0,10788,6,103658,93,84945,5596
2026-04-21,5424,0,10710,6,105294,92,85303,5572
2026-04-28,5697,0,11323,6,119164,94,85538,5992
2026-05-05,5697,0,11323,6,119164,94,85538,5992
2026-05-12,7032,0,11320,6,119446,95,85805,5984
2026-05-19,7030,0,11320,6,120172,95,86548,5981
2026-05-26,7030,0,11320,6,120172,95,86548,5981
2026-06-02,7030,0,11320,6,120172,95,86548,5981
2026-06-09,7030,0,11320,6,120171,95,86550,5980
2026-06-16,6970,0,11314,6,120067,95,86766,5947
2026-06-23,6968,0,11315,6,119943,95,86924,5930
2026-06-30,6968,0,11315,6,119906,95,87003,5914
2026-07-07,6967,0,11315,6,119830,95,87089,5903
2026-07-14,6967,0,11315,6,119830,95,87089,5903
2026-07-21,6967,0,11315,6,119830,95,87089,5903
2026-07-28,6967,0,11315,6,119830,95,87089,5903
2026-08-04,6967,0,11315,6,119830,95,87089,5903
2026-08-11,6967,0,11315,6,119830,95,87089,5903
