date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2023-05-23,25005,188,112835,5103,18088,1331,505,4028
2023-05-30,72870,1431,254519,12671,57410,4745,2161,11849
2023-06-06,270456,9873,1040889,112448,282825,33009,25560,82075
2023-06-13,270456,9873,1040889,112448,282825,33009,25560,82075
2023-06-20,416438,75105,1156535,281982,544901,109684,37311,128903
2023-06-27,533631,111107,1208792,382668,637804,148878,46163,199345
2023-07-04,653783,151541,1279737,490189,809683,198573,59911,238716
2023-07-11,782141,190939,1343704,602608,976500,249050,77332,281704
2023-07-18,782531,190939,1343752,602608,976500,249050,77324,281704
2023-07-25,782531,190939,1343752,602608,976500,249050,77324,281704
2023-08-01,783435,190939,1344967,602517,976486,249089,77407,281713
2023-08-08,794239,191112,1347893,602756,976733,249316,77425,282530
2023-08-15,796615,191003,1347165,601671,976692,249089,77280,282440
2023-08-22,798538,190897,1345598,601526,976618,249109,77013,281780
2023-08-29,798789,190946,1345605,601258,976638,249169,77153,281841
2023-09-05,805694,191291,1345561,601070,977311,249657,77485,281633
2023-09-12,807140,191300,1344957,601038,977503,249660,77609,281484
2023-09-19,810175,191491,1344370,601289,977917,249853,77670,281430
2023-09-26,838640,191563,1315951,600994,978029,249898,79522,281345
2023-10-03,838661,191555,1315949,600975,978029,249906,79521,281345
2023-10-10,839049,190542,1316197,600470,978020,250908,79503,281338
2023-10-17,845503,190212,1312126,600101,977909,251262,77536,281392
2023-10-24,845532,190212,1312112,600083,977909,251262,77536,281392
2023-10-31,847501,190244,1311431,599110,977861,251226,77292,281391
2023-11-07,854670,190232,1304581,598907,977895,251221,77171,281360
2023-11-14,854991,190233,1304513,598693,977904,251210,77113,281360
2023-11-21,858107,190246,1302443,597673,977958,251190,77002,281444
2023-11-28,858527,190246,1302090,597616,977959,251188,76994,281442
2023-12-05,860331,190253,1300782,596583,977947,251180,77558,281454
2023-12-12,869401,190258,1292434,596065,977989,251170,77401,281445
2023-12-19,869364,190230,1291590,595717,977989,251089,77538,281265
2023-12-26,871984,190267,1289752,595051,977962,251067,77458,281101
2024-01-02,874092,190328,1288296,594437,977964,251007,77438,281058
2024-01-09,878203,190335,1282104,594155,977789,250960,77560,281023
2024-01-16,878262,190364,1282811,594435,977788,251041,77420,281204
2024-01-23,878262,190364,1282811,594435,977788,251041,77420,281204
2024-01-30,879932,189241,1282478,593118,977729,251706,77546,281310
2024-02-06,886011,189134,1279224,592847,977842,251818,77336,281364
2024-02-13,885890,188731,1277631,591660,977455,250606,77234,281279
2024-02-20,885890,188731,1277631,591660,977455,250606,77234,281279
2024-02-27,885890,188731,1277631,591660,977455,250606,77234,281279
2024-03-05,875474,159964,1254703,574671,958768,227957,65803,277577
2024-03-12,860340,118288,1204057,553219,930824,197011,22274,269354
2024-03-19,856442,117215,1175573,549486,925683,193988,18442,267183
2024-03-26,858712,117173,1174741,549082,925772,194325,18453,267194
2024-04-02,854285,116627,1170306,545126,925028,195395,35102,267015
2024-04-16,874750,116332,1151729,544651,924079,195617,39271,266768
2024-04-30,894377,114817,1136820,542256,924226,197242,38939,266450
2024-05-07,897018,114759,1135036,541209,924200,197077,40905,264794
