date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,123,404,12089,0,1,0,83,0
2023-06-20,123,404,12089,0,1,0,83,0
2023-06-27,123,404,12089,0,1,0,83,0
2023-07-04,123,404,12089,0,1,0,83,0
2023-07-11,67223,14339,14183,12,50,7069,2312,2084
2023-07-18,67223,14339,14183,12,50,7069,2312,2084
2023-07-25,67223,14339,14183,12,50,7069,2312,2084
2023-08-01,67223,14339,14183,12,50,7069,2312,2084
2023-08-08,67251,14323,14107,12,50,7069,2312,2084
2023-08-15,67864,14354,14101,12,50,7460,3209,2084
2023-08-22,67883,14364,14131,12,50,7460,3209,2084
2023-08-29,67883,14364,14131,12,50,7460,3209,2084
2023-09-05,67943,14676,14138,12,50,7517,3213,2084
2023-09-12,67990,14678,14102,12,50,7517,3215,2084
2023-09-19,67990,14678,14102,12,50,7517,3215,2084
2023-09-26,68086,14681,14094,12,50,7511,3127,2083
2023-10-03,68433,14681,13747,12,50,7511,3125,2083
2023-10-10,68433,14681,13747,12,50,7511,3125,2083
2023-10-17,68481,14679,13700,12,50,7512,3127,2083
2023-10-24,68481,14679,13700,12,50,7512,3127,2083
2023-10-31,68478,14687,13701,12,50,7512,3120,2083
2023-11-07,68781,14690,13405,12,50,7512,3115,2083
2023-11-14,68781,14690,13405,12,50,7512,3115,2083
2023-11-21,68769,14692,13403,12,50,7511,3113,2083
2023-11-28,68815,14692,13358,12,50,7511,3113,2083
2023-12-05,68817,14691,13357,12,50,7511,3113,2083
2023-12-12,69057,14690,13114,11,50,7511,3112,2083
2023-12-19,69057,14690,13114,11,50,7511,3112,2083
2023-12-26,69057,14690,13114,11,50,7511,3112,2083
2024-01-02,69065,14698,13114,11,50,7508,3109,2083
2024-01-09,69120,14698,13060,11,50,7508,3109,2083
2024-01-16,69120,14698,13060,11,50,7508,3109,2083
2024-01-23,69120,14698,13060,11,50,7508,3109,2083
2024-01-30,69120,14698,13060,11,50,7508,3109,2083
2024-02-06,69120,14669,13060,11,50,7490,3109,2082
2024-02-13,69252,14669,12928,11,50,7490,3109,2082
2024-02-20,69252,14669,12928,11,50,7490,3109,2082
2024-02-27,69252,14669,12928,11,50,7490,3109,2082
2024-03-05,69252,14669,12928,11,50,7490,3109,2082
2024-03-12,68153,8537,12636,11,43,5688,178,2020
2024-03-19,68238,8463,12097,11,43,5688,157,2020
2024-03-26,68238,8463,12097,11,43,5688,157,2020
2024-04-02,65942,8316,12097,11,43,5684,2593,1994
2024-04-16,66004,8316,12004,11,43,5684,2593,1994
