date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2023-05-23,6456,195,36939,682,7763,893,241,1444
2023-05-30,6456,195,36939,682,7763,893,241,1444
2023-06-06,2884,26,3944,3,5152,488,192,0
2023-06-13,220730,8025,806176,97001,262366,26794,30493,54271
2023-06-20,220730,8025,806176,97001,262366,26794,30493,54271
2023-06-27,220730,8025,806176,97001,262366,26794,30493,54271
2023-07-04,220730,8025,806176,97001,262366,26794,30493,54271
2023-07-11,229515,9656,808572,98939,271602,30264,30982,54812
2023-07-18,515979,169132,994181,257100,638157,236286,84767,123023
2023-07-25,515979,169132,994181,257100,638157,236286,84767,123023
2023-08-01,516012,169132,994186,257100,638157,236301,84769,123023
2023-08-08,522848,169123,988523,256445,638391,236215,84577,123028
2023-08-15,523417,169114,988275,256166,638377,235942,84000,123068
2023-08-22,526082,168963,986415,255778,637983,235678,83237,123036
2023-08-29,526082,168963,986415,255778,637983,235678,83237,123036
2023-09-05,527667,168706,986584,255726,638098,235989,83539,123013
2023-09-12,553812,168823,964255,255403,638049,236355,87148,122732
2023-09-19,553816,169169,964258,255405,638049,236387,87149,122732
2023-09-26,555973,169161,963294,255207,638023,236678,86227,122737
2023-10-03,559599,168784,961653,255140,638349,237077,84094,122878
2023-10-10,559688,168788,961612,255124,638365,237094,84094,122878
2023-10-17,560686,168507,960973,254919,638377,237360,83928,122878
2023-10-24,570202,167532,952220,254490,638471,238335,83618,122850
2023-10-31,570753,167171,951224,254360,638460,238726,84171,122850
2023-11-07,576176,165858,946312,253940,638455,240070,84164,122849
2023-11-14,576324,165871,946287,253849,638449,240076,84123,122849
2023-11-21,576736,165889,946144,253627,638461,240037,84087,122847
2023-11-28,580031,165904,943807,253191,638219,239982,83563,122896
2023-12-05,580059,165906,943782,253191,638219,239985,83563,122896
2023-12-12,581426,165691,942724,252989,638212,240250,83460,122904
2023-12-19,587630,164948,935665,251542,636163,239378,82600,122225
2023-12-26,587631,164958,935665,251542,636163,239378,82600,122225
2024-01-02,589041,164900,934702,251337,636201,239376,82414,122225
2024-01-09,591822,164805,932212,251138,636228,239335,82354,122225
2024-01-16,596550,165163,929369,251939,638561,240493,82886,122910
2024-01-23,596550,165163,929369,251939,638561,240493,82886,122910
