date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,34001,375,263364,33296,47065,2168,5309,13201
2023-06-20,34001,375,263364,33296,47065,2168,5309,13201
2023-06-27,34001,375,263364,33296,47065,2168,5309,13201
2023-07-04,34001,375,263364,33296,47065,2168,5309,13201
2023-07-11,34001,375,263364,33296,47065,2168,5309,13201
2023-07-18,53319,4528,345399,50971,72969,15420,6447,14684
2023-07-25,154753,64957,402612,93464,234043,117952,12591,18494
2023-08-01,154753,64957,402612,93464,234043,117952,12591,18494
2023-08-08,156355,64951,401586,93216,234049,117958,12364,18486
2023-08-15,156428,64938,401578,93166,234050,117917,12341,18485
2023-08-22,156801,64940,401393,93120,234048,117929,12259,18353
2023-08-29,157093,64795,401315,93019,234031,117464,12082,18353
2023-09-05,157340,64794,401178,93005,234029,117509,12089,18350
2023-09-12,164861,64979,393151,92703,230433,117482,12304,18468
2023-09-19,164570,64748,392979,92414,228693,117122,12292,18445
2023-09-26,164877,64744,392741,92367,228695,117126,12267,18445
2023-10-03,167796,64977,392407,92774,234373,118382,11921,18492
2023-10-10,167796,64977,392407,92774,234373,118382,11921,18492
2023-10-17,167908,64962,392398,92733,234368,118392,11865,18493
2023-10-24,169988,64977,390808,92573,234241,118359,11702,18493
2023-10-31,170158,64977,390714,92517,234240,118363,11684,18494
2023-11-07,171519,64977,389420,92443,234229,118360,11633,18493
2023-11-14,171700,64963,389356,92342,234246,118372,11607,18492
2023-11-21,171768,64962,389339,92298,234245,118369,11605,18492
2023-11-28,172723,64973,388714,92215,234250,118358,11476,18443
2023-12-05,172889,64990,388715,92154,234251,118358,11374,18443
2023-12-12,172988,64989,388648,92114,234249,118360,11365,18442
2023-12-19,174608,65016,387197,91949,234221,118376,11364,18439
2023-12-26,174608,65016,387197,91949,234221,118376,11364,18439
2024-01-02,174944,65017,386959,91898,234223,118378,11328,18439
2024-01-09,174944,65017,386959,91898,234223,118378,11328,18439
2024-01-16,176712,64997,385635,91631,234251,118373,11175,18488
2024-01-23,176712,64997,385635,91631,234251,118373,11175,18488
2024-01-30,176712,64997,385635,91631,234251,118373,11175,18488
2024-02-06,176851,64996,385592,91540,234250,118369,11198,18488
2024-02-13,175778,64878,368512,88210,231922,117762,8761,17714
2024-02-20,169141,38585,358427,85035,222845,83551,4453,17323
2024-02-27,169141,38585,358427,85035,222845,83551,4453,17323
2024-03-05,169073,38585,358355,85035,222845,83551,4442,17323
2024-03-12,168929,38216,350962,83961,221871,81271,3992,17310
2024-03-19,172438,38144,348941,83768,221959,81511,4100,17313
