date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,13378,338,51578,0,24,2987,254,56
2023-06-20,13378,338,51578,0,24,2987,254,56
2023-06-27,13378,338,51578,0,24,2987,254,56
2023-07-04,13378,338,51578,0,24,2987,254,56
2023-07-11,13378,338,51578,0,24,2987,254,56
2023-07-18,13378,338,51578,0,24,2987,254,56
2023-07-25,152132,23489,110923,1,26,55784,1016,1191
2023-08-01,152132,23489,110923,1,26,55784,1016,1191
2023-08-08,152516,23487,110615,1,26,55785,939,1191
2023-08-15,152539,23487,110623,1,26,55776,906,1191
2023-08-22,152616,23489,110564,1,26,55776,899,1191
2023-08-29,152734,23492,110563,1,26,55784,779,1192
2023-09-05,152880,23500,110614,1,26,55793,736,1192
2023-09-12,153164,23501,110548,1,26,55793,719,1192
2023-09-19,149301,22848,109900,1,26,54130,659,1159
2023-09-26,149334,22846,109873,1,26,54131,651,1159
2023-10-03,155765,23359,108910,1,26,55814,529,1192
2023-10-10,155765,23359,108910,1,26,55814,529,1192
2023-10-17,156144,23350,108581,1,26,55820,485,1192
2023-10-24,156181,23354,108554,1,26,55810,469,1192
2023-10-31,156181,23354,108554,1,26,55810,469,1192
2023-11-07,156345,23355,108312,1,26,55808,544,1192
2023-11-14,156346,23366,108313,1,26,55800,545,1192
2023-11-21,156348,23364,108305,1,26,55800,547,1192
2023-11-28,156421,23365,108232,1,26,55798,548,1192
2023-12-05,156481,23367,108186,1,26,55793,540,1192
2023-12-12,156728,23367,107936,1,26,55772,573,1192
2023-12-19,156715,23374,107935,1,26,55765,574,1192
2023-12-26,156715,23374,107935,1,26,55765,574,1192
2024-01-02,156946,23374,107705,1,26,55765,574,1192
2024-01-09,157347,23371,107093,1,26,55751,530,1192
2024-01-16,157355,23372,107091,1,26,55750,517,1192
2024-01-23,157362,23369,107088,1,26,55747,518,1192
2024-01-30,157362,23369,107088,1,26,55747,518,1192
2024-02-06,157466,23369,106985,1,26,55746,518,1192
2024-02-13,157917,23373,106770,1,26,55778,518,1192
2024-02-20,148410,16682,104598,1,26,45758,402,1044
2024-02-27,148410,16682,104598,1,26,45758,402,1044
2024-03-05,148410,16682,104598,1,26,45758,402,1044
2024-03-12,147689,16268,100425,1,26,45030,263,1032
2024-03-19,147264,16201,95967,1,13,44479,193,1032
2024-03-26,147450,15979,95990,0,13,44807,234,1033
2024-04-02,147588,15974,95950,0,13,44823,315,1033
2024-04-16,149569,15812,94118,0,13,44862,323,1029
2024-04-30,150262,15801,93450,0,13,44838,321,1029
