date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2023-05-23,1284,8,12094,11,0,457,8,0
2023-05-30,1284,8,12094,11,0,457,8,0
2023-06-06,67578,2428,196466,32240,39628,13150,14756,4271
2023-06-13,218395,8385,740896,139755,219729,32111,46536,38107
2023-06-20,218395,8385,740896,139755,219729,32111,46536,38107
2023-06-27,218395,8385,740896,139755,219729,32111,46536,38107
2023-07-04,218395,8385,740896,139755,219729,32111,46536,38107
2023-07-11,218479,8383,740811,139755,219729,32113,46535,38107
2023-07-18,224926,8442,741432,144605,219720,33045,50251,38142
2023-07-25,455138,41625,893034,339683,616558,116209,99784,131171
2023-08-01,684359,111525,894663,634568,913334,242618,154373,176795
2023-08-08,692005,111506,889381,634238,913333,242591,151834,176698
2023-08-15,693128,111538,889273,633624,913319,242664,152063,176691
2023-08-22,695331,111553,888329,633491,913372,242701,151845,176681
2023-08-29,697890,111535,888319,632284,913064,242495,151183,176624
2023-09-05,699346,111624,888328,632427,913289,242703,151894,176861
2023-09-12,702889,111705,886935,633051,913681,243197,153560,176887
2023-09-19,706757,112137,886889,632180,915086,243938,155578,177007
2023-09-26,716479,112129,877812,632051,915107,243933,155389,176998
2023-10-03,742641,112077,852620,631212,915074,244008,155260,176998
2023-10-10,745444,111647,852576,630353,914625,243903,154573,176996
2023-10-17,753039,111555,846282,629979,914592,243820,153788,176981
2023-10-24,753416,111543,846281,629672,914974,243807,153312,176980
2023-10-31,755125,111548,845984,628979,914968,243604,152869,176928
2023-11-07,763062,111532,839606,628503,914887,243510,152019,176929
2023-11-14,764846,111510,839600,627557,914697,243323,151468,176908
2023-11-21,764798,111508,839223,628021,914710,243258,151484,176911
2023-11-28,766962,111503,837465,627695,914682,243213,151500,176912
2023-12-05,769133,111414,837456,626426,914610,243110,150922,176913
2023-12-12,781103,111386,826744,625954,914566,243036,150295,176965
2023-12-19,781491,111375,826744,625740,914578,243036,150170,176964
2023-12-26,783228,111315,826737,624694,914620,242969,149468,176917
2024-01-02,785793,111332,824654,624531,914611,242970,149134,176863
2024-01-09,798599,111304,811367,624009,914365,242967,148901,176866
2024-01-16,798599,111304,811367,624009,914365,242967,148901,176866
2024-01-23,801588,110596,811363,622621,914390,242793,148315,176850
2024-01-30,801693,110595,811257,622621,914390,242795,148311,176850
2024-02-06,804007,110508,810107,622971,914388,243098,147125,176795
2024-02-13,811551,110432,804038,622803,914609,243189,146708,176798
2024-02-20,801127,100797,803634,612760,900243,230251,129840,175693
2024-02-27,801127,100797,803634,612760,900243,230251,129840,175693
2024-03-05,749221,70967,802712,553201,863256,190066,94024,170737
2024-03-12,748122,67533,788352,550289,859472,181374,63495,164953
2024-03-19,743256,63983,731757,539082,850902,172022,37356,163786
2024-03-26,792321,67071,731999,577499,875955,181977,35419,165376
2024-04-02,792881,66839,728605,573475,876069,182220,45160,165407
2024-04-16,832567,66076,698974,571002,876327,183522,46256,165276
2024-04-30,842423,65966,690870,570260,876358,183634,46222,165179
2024-05-07,844980,65865,690851,567901,876306,183811,46605,165180
2024-05-14,848137,65873,688336,567525,876311,183857,46446,165171
2024-05-20,806457,66546,729533,567435,876346,184211,46196,165266
2024-05-21,806457,66546,729533,567435,876346,184211,46196,165266
2024-05-28,810436,66601,729528,564360,876382,184129,45448,165266
2024-06-04,810607,66601,729390,564360,876382,184133,45450,165266
2024-06-11,820026,66565,722417,562895,876407,184149,44914,163345
2024-06-18,823025,66449,722410,558962,876384,184172,44722,162555
2024-07-02,831283,66191,715744,558116,876406,184486,44356,162541
2024-07-09,836057,65611,715731,554934,876315,185357,43969,162504
2024-07-16,838790,65614,713903,554215,876330,185388,43934,162515
2024-07-23,845135,65614,710104,552177,876327,185478,43693,162519
2024-07-30,847660,65554,710097,550566,876384,186090,43221,162532
2024-08-06,852697,65489,706185,550102,876407,186232,42917,162532
2024-08-13,855358,65492,704831,549232,876412,186290,42780,162537
2024-08-20,856337,65418,704830,548603,876411,186383,42800,162535
2024-08-27,859732,65406,702374,548231,876387,186420,42762,162531
2024-09-03,863777,65387,699279,547808,876405,186434,43262,162532
2024-09-10,867797,59383,699275,545613,876435,186466,51799,162534
2025-05-13,1000474,23100,619279,506866,876510,210364,122929,162089
2025-05-20,1003181,23102,617052,506728,876555,210357,123313,162093
2025-05-27,1006757,23176,617044,504019,876556,208665,130110,162019
2025-06-03,1009988,23182,614370,503612,876553,207684,131099,162007
2025-06-10,1015477,23192,608265,502542,875334,206360,132268,161939
2025-06-17,1015477,23192,608265,502542,875334,206360,132268,161939
2025-06-24,1020592,23199,608312,498601,875478,204927,134039,162025
2025-07-01,1024393,23208,605912,498202,875511,204948,134100,162626
2025-07-08,1039009,23109,597562,494996,876810,205425,135157,162669
2025-07-15,1075483,22623,597695,460961,877361,208663,134053,162814
2025-07-22,1087528,22557,596128,451051,877436,208849,133933,162984
2025-07-29,1090020,22558,595750,448944,877439,208848,133934,162984
2025-08-05,1104075,22555,593151,437571,877447,208848,133913,162984
2025-08-12,1120427,22552,589392,425493,877488,208861,133850,162994
2025-08-19,1164234,22549,589381,382811,877477,208991,133249,163024
2025-08-26,1164235,22549,589379,382811,877477,208991,133249,163024
2025-09-02,1168949,22555,587393,380309,877484,209039,133345,162853
2025-09-09,1178200,22554,580782,378495,877505,209017,133197,162849
2025-09-16,1174742,22588,580780,382148,877544,209144,133212,162849
2025-09-23,1166020,22587,580776,391220,877565,209196,133152,162847
2025-09-30,1166020,22587,580776,391220,877565,209196,133152,162847
2025-10-07,1166020,22587,580776,391220,877565,209196,133152,162847
2025-10-14,1166020,22587,580776,391220,877565,209196,133152,162847
2025-10-21,1166020,22587,580776,391220,877565,209196,133152,162847
2025-10-28,1166020,22587,580776,391220,877565,209196,133152,162847
2025-11-04,1166020,22587,580776,391220,877565,209196,133152,162847
2025-11-07,1160735,22603,580757,398008,877595,208987,133328,162888
2025-11-11,1165198,22604,580722,394976,877815,209047,133654,162947
2025-11-18,1197502,22627,556826,391628,878326,208789,135485,161444
2025-11-25,1209898,22777,556740,382608,878765,209120,136130,161378
2025-12-02,1217182,22779,552572,380283,878793,209303,136406,161201
2025-12-09,1218784,22780,551618,380041,878814,209349,136293,161199
2025-12-16,1223470,22765,551016,376315,878745,209700,136264,161192
2025-12-23,1230895,22759,545861,375056,878761,209705,136172,161086
2025-12-30,1233120,22738,545846,373344,878793,210049,135878,161094
2026-01-06,1236508,22740,543307,372998,878798,210129,135807,161088
2026-01-13,1237914,22714,543280,371816,878898,210224,135758,161091
2026-01-20,1242239,22708,539700,371392,878997,210270,135751,161085
2026-01-27,1242798,22657,539700,370877,879030,210466,135734,161069
2026-02-03,1244762,22490,539215,369684,879068,210954,135408,161079
2026-02-10,1247407,22494,537230,369426,879074,210992,135380,161080
2026-02-17,1251418,22495,534014,369013,879100,211006,135253,161074
2026-02-24,1255419,22524,533815,365966,879178,211178,135152,161025
2026-03-03,1263404,22469,493934,336064,725491,210176,129342,152038
2026-03-10,1267634,22179,493311,293637,589823,209438,118284,135385
2026-03-17,1267634,22179,493311,293637,589823,209438,118284,135385
2026-03-24,1267634,22179,493311,293637,589823,209438,118284,135385
2026-03-31,1267634,22179,493311,293637,589823,209438,118284,135385
2026-04-07,1267634,22179,493311,293637,589823,209438,118284,135385
2026-04-21,1288942,22272,502421,339987,753114,210313,130874,153483
2026-04-28,1292950,22275,483247,330754,732768,211197,128882,152134
2026-05-05,1295643,22275,483510,333893,770331,212647,133737,152999
2026-05-12,1296716,22273,483054,334346,780174,212231,137903,153505
2026-05-19,1301031,22294,510078,345908,852580,212606,143121,155685
2026-05-26,1304560,22256,509809,345312,860525,211112,146211,155855
2026-06-02,1304560,22256,509809,345312,860525,211112,146211,155855
2026-06-09,1304609,22256,509760,345312,860525,211112,146211,155855
2026-06-16,1307930,22253,507775,344806,852737,210886,142873,155891
2026-06-23,1315856,22239,500560,340867,827825,210934,142191,155422
2026-06-30,1319514,22214,500433,337925,827980,210982,142191,155425
2026-07-07,1325284,22226,498404,339049,861364,211242,145637,155839
2026-07-14,1325284,22226,498404,339049,861364,211242,145637,155839
2026-07-21,1326799,22216,498401,337803,855403,211236,145701,155846
2026-07-28,1326799,22216,498401,337803,855403,211236,145701,155846
2026-08-04,1326799,22216,498401,337803,855403,211236,145701,155846
2026-08-11,1326799,22216,498401,337803,855403,211236,145701,155846
2026-08-18,1326799,22216,498401,337803,855403,211236,145701,155846
2026-08-25,1326799,22216,498401,337803,855403,211236,145701,155846
2026-09-01,1333884,37123,498292,331378,843791,213191,128775,155084
