date,HFC,FTTC,FTTP,WIRELESS,FTTB,SATELLITE,NULL,FTTN
2023-05-23,0,1876,43,0,0,0,0,3516
2023-05-30,0,1876,43,0,0,0,0,3516
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,26124,25217,35722,2318,5510,530,11057,218971
2023-06-20,50675,80578,93042,4315,21084,1571,21235,613436
2023-06-27,50675,80578,93042,4315,21084,1571,21235,613436
2023-07-04,50675,80578,93042,4315,21084,1571,21235,613436
2023-07-11,54247,81213,93296,4315,21084,1577,21248,614015
2023-07-18,54247,81213,93513,4323,21334,1577,26978,615359
2023-07-25,54247,81213,93513,4323,21334,1577,26978,615359
2023-08-01,126000,106048,251205,59692,37127,76763,44988,779242
2023-08-08,125991,105533,254317,59684,37084,76762,44888,776753
2023-08-15,125991,105524,254397,59682,37084,76762,44818,776748
2023-08-22,125974,105419,255453,59688,37022,76766,44803,775988
2023-08-29,126669,105430,255926,60279,37165,77101,45044,778272
2023-09-05,126674,105417,256136,60284,37166,77106,45194,777716
2023-09-12,126599,105248,268702,60290,37162,77129,45903,765682
2023-09-19,126568,105247,269032,60207,37166,76968,46561,765554
2023-09-26,126567,105229,269158,60208,37166,76971,46486,765514
2023-10-03,126560,104972,270843,60229,37152,76951,46195,764376
2023-10-10,126561,104944,270966,60378,37152,76802,46223,764243
2023-10-17,126559,104784,270982,60395,37152,76771,46213,764173
2023-10-24,126564,104519,274519,60391,37153,76771,46129,760968
2023-10-31,126565,104399,274781,60391,37153,76785,46096,760874
2023-11-07,126559,104481,275451,60399,37152,76787,46081,760246
2023-11-14,126546,104249,279470,60394,37134,76775,46142,756408
2023-11-21,126548,104233,279544,60389,37135,76771,46157,756339
2023-11-28,126548,104040,281225,60377,37134,76772,46109,755021
2023-12-05,126573,104042,282329,60385,37117,76676,45153,754927
2023-12-12,126573,104031,282470,60389,37117,76677,45133,754799
2023-12-19,126580,103883,288690,60387,37116,76680,45196,748669
2023-12-26,126584,103848,288869,60282,37134,76699,45242,748654
2024-01-02,126583,103827,289059,60283,37134,76700,45204,748544
2024-01-09,126583,103827,289059,60283,37134,76700,45204,748544
2024-01-16,126582,103584,296227,60309,37135,76701,45096,741712
2024-01-23,126580,103562,296559,60301,37132,76586,44901,741590
2024-01-30,126572,103558,296566,60297,37132,76479,44903,741595
2024-02-06,126572,103537,296722,60295,37132,76468,44868,741495
2024-02-13,124904,98641,294683,59403,36397,75950,37125,705610
2024-02-20,124904,98641,294683,59403,36397,75950,37125,705610
2024-02-27,124904,98641,294683,59403,36397,75950,37125,705610
2024-03-05,121859,97264,284154,48036,36117,50049,30096,695536
2024-03-12,121530,96562,289151,46002,35793,49191,19001,687463
2024-03-19,121573,96151,299710,46051,35809,49153,18956,679828
2024-03-26,122397,96134,302196,47003,35814,49732,19176,680314
2024-04-02,122408,96106,296477,47045,35814,49724,26576,679037
2024-04-16,122291,95625,301508,44829,35812,49774,29007,675387
2024-04-30,122298,95427,307953,44926,35815,49768,28864,669851
2024-05-07,122302,95379,308298,47127,35815,49802,26584,669857
2024-05-14,122303,95348,308492,47132,35815,49802,26583,669719
2024-05-20,122316,95351,300595,46890,35824,50093,26540,677688
2024-05-21,122317,95304,301031,46890,35824,50093,26526,677402
2024-05-28,122318,95128,302839,46804,35815,50050,26431,676041
2024-06-04,122319,95128,302840,46804,35815,50050,26430,676041
2024-06-11,122315,95070,303097,46791,35815,50052,26408,675975
2024-06-18,122339,94581,310282,46792,35816,50050,26392,669816
2024-07-02,122350,94444,311587,46876,35818,50037,26417,668838
2024-07-09,122353,93890,315899,47230,35778,49711,26477,665003
2024-07-16,122353,93751,316190,47236,35777,49710,26465,664883
2024-07-23,122358,93080,320998,47244,35818,49705,26360,661191
2024-07-30,122371,93037,321143,47320,35819,49689,26353,661191
2024-08-06,122371,93018,321394,47323,35820,49687,26349,660989
2024-08-13,122372,92720,326849,47325,35819,49688,26257,656198
2024-08-20,122375,92675,327016,47357,35822,49609,26430,656191
2024-08-27,122373,92640,327260,47363,35822,49606,26437,656045
2024-09-03,122375,92268,331744,47367,35824,49601,26450,652290
2024-09-10,122381,92224,332077,47342,35825,23402,52739,652267
2025-05-13,122430,84389,403657,54797,35823,16668,63534,594815
2025-05-20,122436,83816,409435,54796,35823,16668,65219,589951
2025-05-27,122437,83725,409704,54818,35803,16689,65215,589914
2025-06-03,122440,83642,410794,54812,35803,16693,65218,589167
2025-06-10,122440,83642,410794,54812,35803,16693,65218,589167
2025-06-17,122446,82863,417604,54778,35807,16697,65267,583658
2025-06-24,122475,82729,418029,54788,35719,16810,65431,583668
2025-07-01,122474,82647,419644,54822,35720,16823,65568,582522
2025-07-08,122497,80821,426440,54824,35807,16826,65609,578682
2025-07-15,122522,80176,427397,54890,35842,16903,65652,578617
2025-07-22,122526,78540,429737,54891,35846,16907,65550,578089
2025-07-29,122526,78540,429737,54891,35846,16907,65550,578089
2025-08-05,122526,78540,429737,54891,35846,16907,65550,578089
2025-08-12,122530,66566,449090,54898,35839,16915,65556,570900
2025-08-19,122541,64406,451326,54923,35837,16931,65600,570893
2025-08-26,122541,64406,451326,54923,35837,16931,65601,570892
2025-09-02,122541,64345,451837,54933,35837,16930,65598,570469
2025-09-09,122541,64170,452431,54948,35837,16927,65549,570112
2025-09-16,122543,63280,459116,54962,35840,16926,65845,564219
2025-09-23,122543,63280,459116,54962,35840,16926,65845,564219
2025-09-30,122543,63280,459116,54962,35840,16926,65845,564219
2025-10-07,122543,63280,459116,54962,35840,16926,65845,564219
2025-10-14,122543,63280,459116,54962,35840,16926,65845,564219
2025-10-21,122543,63280,459116,54962,35840,16926,65845,564219
2025-10-28,122543,63280,459116,54962,35840,16926,65845,564219
2025-11-04,122543,63280,459116,54962,35840,16926,65845,564219
2025-11-07,122543,63280,459116,54962,35840,16926,65845,564219
2025-11-11,122580,63035,462319,54959,35848,17202,66836,563317
2025-11-18,122586,62914,466124,54919,35849,17227,67026,560905
2025-11-25,122591,61425,487083,54942,35711,17317,68908,546741
2025-12-02,122592,61334,487848,54978,35711,17319,68898,546099
2025-12-09,122597,60433,493422,54987,35757,17318,68850,541902
2025-12-16,122610,60311,494623,55041,35692,17365,69128,541206
2025-12-23,122617,60045,498203,55036,35692,17372,69220,538401
2025-12-30,122622,59856,499705,55078,35691,17380,69299,537269
2026-01-06,122622,59716,501215,55077,35691,17381,69396,535934
2026-01-13,122634,59649,502176,55078,35692,17390,69343,535219
2026-01-20,122644,59395,505527,55073,35692,17395,69284,532421
2026-01-27,122644,59395,505527,55073,35692,17395,69284,532421
2026-02-03,122651,59356,505779,55081,35690,17427,69342,532333
2026-02-10,122652,59325,506472,55083,35690,17433,69354,531750
2026-02-17,122655,58969,511210,55089,35690,17433,69070,527807
2026-02-24,122659,58788,511999,55138,35689,17462,68690,527745
2026-03-03,111317,50697,516806,54060,27886,17403,63194,483845
2026-03-10,108044,50459,516956,54018,27674,17329,62197,483114
2026-03-17,108044,50459,516957,54018,27674,17329,62197,483112
2026-03-24,108044,50459,516957,54018,27674,17329,62197,483112
2026-03-31,108044,50459,516957,54018,27674,17329,62197,483112
2026-04-07,108044,50459,516957,54018,27674,17329,62197,483112
2026-04-21,117917,54468,527819,54697,33700,17392,65722,506940
2026-04-28,118913,54524,528975,54792,34136,17453,64637,508337
2026-05-05,113066,51332,531217,55071,27769,17461,63268,496416
2026-05-12,113067,51306,531642,55064,27769,17462,64919,496140
2026-05-19,122090,55120,535422,55258,33261,17470,69074,508791
2026-05-26,122115,55079,536208,55121,33281,17458,69477,508562
2026-06-02,122115,55079,536208,55121,33281,17458,69477,508562
2026-06-09,122115,55079,536208,55121,33281,17458,69477,508562
2026-06-16,122116,55042,537413,55117,33281,17464,68966,507479
2026-06-23,122128,54418,544104,55119,33284,17464,68804,501816
2026-06-30,122149,54301,544658,55122,33287,17463,69586,501594
2026-07-07,121151,53445,546756,54681,32454,17451,67643,489266
2026-07-14,121151,53277,548897,54683,32455,17450,67572,487431
